iter	RMSE
356	3835.999481
357	3835.101625
358	3831.298308
359	3831.169475
360	3829.293745
361	3827.146192
362	3824.492942
363	3824.339487
364	3821.869011
365	3819.076971
366	3818.903871
367	3818.742427
368	3818.600351
369	3816.94582
370	3816.807303
371	3815.149498
372	3814.99341
373	3812.219644
374	3810.634972
375	3810.480506
376	3807.807898
377	3807.532768
378	3806.035051
379	3805.927965
380	3802.946305
381	3801.087525
382	3795.728598
383	3790.415462
384	3788.754442
385	3785.849232
386	3781.824956
387	3781.706252
388	3780.615498
389	3775.003129
390	3772.056792
391	3771.948108
392	3765.051614
393	3764.918448
394	3764.816635
395	3763.519956
396	3763.418187
397	3756.516042
398	3755.405634
399	3748.258633
400	3746.817753
401	3746.715818
402	3745.800665
403	3745.413347
404	3743.509454
405	3743.402141
406	3741.294387
407	3740.514247
408	3740.412888
409	3737.877637
410	3733.30863
411	3733.217739
412	3733.114884
413	3730.931079
414	3725.25276
415	3722.308625
416	3721.758152
417	3717.597735
418	3714.199396
419	3712.959039
420	3712.867155
421	3712.769225
422	3711.672676
423	3710.215202
424	3707.693127
425	3707.169893
426	3705.474898
427	3704.064282
428	3701.297256
429	3700.503124
430	3696.561358
431	3691.000542
432	3686.661778
433	3685.314541
434	3684.480691
435	3683.49934
436	3681.656388
437	3678.140182
438	3676.438905
439	3673.849638
440	3673.764284
441	3672.504802
442	3671.929083
443	3669.940126
444	3661.007097
445	3658.135183
446	3652.439052
447	3649.996248
448	3646.944763
449	3646.140243
450	3646.060725
451	3645.999932
452	3645.715027
453	3641.516813
454	3639.827598
455	3639.74892
456	3639.668357
457	3635.963485
458	3633.396117
459	3632.763183
460	3631.056043
461	3630.870126
462	3630.794712
463	3628.037058
464	3625.223117
465	3624.85027
466	3620.573688
467	3618.985044
468	3615.595885
469	3613.399154
470	3606.137498
471	3603.961974
472	3601.983339
473	3600.77774
474	3599.551195
475	3597.046551
476	3596.107937
477	3596.042356
478	3595.972679
479	3593.329673
480	3592.307053
481	3590.696011
482	3590.625171
483	3590.538747
484	3587.213254
485	3585.472615
486	3584.140617
487	3582.882398
488	3582.601179
489	3581.915979
490	3581.868008
491	3581.248003
492	3579.105768
493	3577.593192
494	3576.609252
495	3575.230262
496	3574.339056
497	3570.667982
498	3570.420036
499	3568.59657
